Year	Item Number	Bar Code	Product Name	Vendor Name	Item Group	Item type	Sub Brand ID	Inventory Unit	Availabe Physcial Quantity Pcs	Packing	Availabe Physcial Quantity CTN	Sales Unit	Cost Price	Stock Total Value	Sales Price	Total Selling Price	Conversion Rate	Date	Profit_Margin	Revenue	Inventory_Value	Product_Category	Promo Revenue %	Rolling_Revenue	YearMonth
2021	1000032	65700000000	Product_0032	Vendor_A	Group_AA	REGULAR	SubBrand_04	PCS	1139	25	45.56	PCS	2.49	2839.32	3.29	3744.29	0.04	01-01-2021	31.87	3069.63	2839.32	Sports & Outdoors	0	3069.63	2022-01
2021	1000038	1.67E+11	Product_0038	Vendor_D	Group_DD	REGULAR	SubBrand_04	PCS	369	17	21.71	PCS	4.95	1828.3	6.53	2408.24	0.058823529	01-01-2021	31.72	2283.01	1828.3	Books & Media	0	2676.32	2022-01
2021	1000030	6.82E+11	Product_0030	Vendor_A	Group_DD	REGULAR	SubBrand_01	PCS	661	16	41.31	PCS	2.22	1466.2	2.69	1779.11	0.0625	01-01-2021	21.34	1605.64	1466.2	Electronics	0	2319.426667	2022-01
2021	1000005	89300000000	Product_0005	Vendor_C	Group_DD	REGULAR	SubBrand_03	PCS	549	16	34.31	PCS	4.67	2562.02	6.83	3752.15	0.0625	01-01-2021	46.45	2750.92	2562.02	Home & Garden	0	2213.19	2022-01
2021	1000028	5.41E+12	Product_0028	Vendor_A	Group_DD	REGULAR	SubBrand_02	PCS	778	8	97.25	PCS	3.06	2380.48	4.61	3589.55	0.125	01-01-2021	50.79	2600.47	2380.48	Clothing	0	2319.01	2022-01
2021	1000031	2.12E+12	Product_0031	Vendor_E	Group_DD	PROMO	SubBrand_01	PCS	983	16	61.44	PCS	5.01	4925.87	4.76	4683.33	0.0625	01-01-2021	-4.92	4457.88	4925.87	Food & Beverages	0.742661373	3269.756667	2022-01
2021	1000038	34800000000	Product_0038	Vendor_D	Group_DD	REGULAR	SubBrand_04	PCS	448	23	19.48	CTN	5.17	2315.13	6.9	3091.74	0.043478261	01-01-2021	33.55	2233.53	2315.13	Books & Media	0	3097.293333	2022-01
2021	1000002	2.42E+11	Product_0002	Vendor_E	Group_DD	REGULAR	SubBrand_04	PCS	1160	13	89.23	PCS	4.05	4697.54	5.68	6586.8	0.076923077	01-01-2021	40.22	4673.99	4697.54	Home & Garden	0	3788.466667	2022-01
2021	1000024	31600000000	Product_0024	Vendor_E	Group_DD	REGULAR	SubBrand_03	PCS	986	13	75.85	PCS	1.56	1536	2.37	2338.18	0.076923077	01-01-2021	52.23	2204.02	1536	Toys & Games	0	3037.18	2022-01
2021	1000039	5.9E+11	Product_0039	Vendor_A	Group_DD	REGULAR	SubBrand_04	PCS	490	12	40.83	PCS	5.6	2744.62	6.63	3246.87	0.083333333	01-01-2021	18.3	2757.97	2744.62	Electronics	0	3211.993333	2022-01
